f_Hz amplitude error
370.000000 4.460e-04 0.038500
372.500000 4.430e-04 0.038625
375.000000 4.400e-04 0.038750
377.500000 4.370e-04 0.038875
380.000000 4.340e-04 0.039000
382.500000 4.310e-04 0.039125
385.000000 4.280e-04 0.039250
387.500000 4.250e-04 0.039375
390.000000 4.220e-04 0.039500
392.500000 4.190e-04 0.039625
395.000000 4.170e-04 0.039750
397.500000 4.140e-04 0.039875
400.000000 4.110e-04 0.040000
402.500000 4.090e-04 0.040125
405.000000 4.060e-04 0.040250
407.500000 4.030e-04 0.040375
410.000000 4.010e-04 0.040500
412.500000 3.980e-04 0.040625
415.000000 3.960e-04 0.040750
417.500000 3.930e-04 0.040875
420.000000 3.910e-04 0.041000
422.500000 3.890e-04 0.041125
425.000000 3.860e-04 0.041250
427.500000 3.840e-04 0.041375
430.000000 3.820e-04 0.041500
432.500000 3.790e-04 0.041625
435.000000 3.770e-04 0.041750
437.500000 3.750e-04 0.041875
440.000000 3.730e-04 0.042000
442.500000 3.700e-04 0.042125
445.000000 3.680e-04 0.042250
447.500000 3.660e-04 0.042375
450.000000 3.640e-04 0.042500
452.500000 3.620e-04 0.042625
455.000000 3.600e-04 0.042750
457.500000 3.580e-04 0.042875
460.000000 3.560e-04 0.043000
462.500000 3.540e-04 0.043125
465.000000 3.520e-04 0.043250
467.500000 3.500e-04 0.043375
470.000000 3.480e-04 0.043500
472.500000 3.460e-04 0.043625
475.000000 3.440e-04 0.043750
477.500000 3.430e-04 0.043875
480.000000 3.410e-04 0.044000
482.500000 3.390e-04 0.044125
485.000000 3.370e-04 0.044250
487.500000 3.350e-04 0.044375
490.000000 3.340e-04 0.044500
492.500000 3.320e-04 0.044625
495.000000 3.300e-04 0.044750
497.500000 3.280e-04 0.044875
500.000000 3.270e-04 0.045000
